Lever,Altitude_ft,Mach,Thrust_N,TSFC_kg_per_Ns,TSFC_unit_flag,Valid,Error
0.0,10000.0,0.76,2014.4800000000043,2.971268019538537e-05,kg/(N·s),1,
0.0,10000.0,0.78,1755.2400000000046,3.350128757320931e-05,kg/(N·s),1,
0.0,10000.0,0.8,1496.0000000000048,3.860294117647051e-05,kg/(N·s),1,
0.0,10000.0,0.8200000000000001,1247.5600000000045,4.5583378755330275e-05,kg/(N·s),1,
0.0,10000.0,0.84,999.1200000000055,5.603531107374464e-05,kg/(N·s),1,
0.0,10000.0,0.86,758.3780000000053,7.280037131878782e-05,kg/(N·s),1,
0.0,10000.0,0.88,525.3340000000054,0.00010382080733399987,kg/(N·s),1,
0.0,10000.0,0.9,292.2900000000055,0.00018430668172020613,kg/(N·s),1,
0.0,10000.0,0.92,2621.5200000000054,2.925005340413192e-05,kg/(N·s),1,
0.0,10000.0,0.9400000000000001,2478.0400000000054,3.08248454423657e-05,kg/(N·s),1,
0.0,10000.0,0.96,,,,0,The mach number is out of range.
0.0,10000.0,0.98,,,,0,The mach number is out of range.
0.0,10000.0,1.0,,,,0,The mach number is out of range.
0.0,12000.0,0.0,6897.8,6.328539534344283e-06,kg/(N·s),1,
0.0,12000.0,0.02,6616.480000000001,6.596951853553549e-06,kg/(N·s),1,
0.0,12000.0,0.04,6335.16,6.889202482652371e-06,kg/(N·s),1,
0.0,12000.0,0.06,6073.34,7.18494271685761e-06,kg/(N·s),1,
0.0,12000.0,0.08,5831.02,7.481675590205488e-06,kg/(N·s),1,
0.0,12000.0,0.1,5588.7,7.804140497790184e-06,kg/(N·s),1,
0.0,12000.0,0.12,5378.82,8.105681171706806e-06,kg/(N·s),1,
0.0,12000.0,0.14,5168.9400000000005,8.431709402701519e-06,kg/(N·s),1,
0.0,12000.0,0.16,4972.099999999999,8.761448884777057e-06,kg/(N·s),1,
0.0,12000.0,0.18,4788.299999999999,9.092663366956959e-06,kg/(N·s),1,
0.0,12000.0,0.2,4604.5,9.450320338799001e-06,kg/(N·s),1,
0.0,12000.0,0.22,4440.7,9.78917738194429e-06,kg/(N·s),1,
0.0,12000.0,0.24,4276.900000000001,1.01539900395146e-05,kg/(N·s),1,
0.0,12000.0,0.26,4117.68,1.0528841483553846e-05,kg/(N·s),1,
0.0,12000.0,0.28,3963.0399999999995,1.091364205256571e-05,kg/(N·s),1,
0.0,12000.0,0.3,3808.3999999999996,1.132969225921647e-05,kg/(N·s),1,
0.0,12000.0,0.32,3658.6799999999994,1.1744235625963464e-05,kg/(N·s),1,
0.0,12000.0,0.34,3508.959999999999,1.2194154393324521e-05,kg/(N·s),1,
0.0,12000.0,0.36,3361.34,1.2667210100733636e-05,kg/(N·s),1,
0.0,12000.0,0.38,3215.8199999999997,1.3165662257215889e-05,kg/(N·s),1,
0.0,12000.0,0.4,3070.3,1.3711363710386605e-05,kg/(N·s),1,
0.0,12000.0,0.42,2917.6200000000003,1.4293979339324517e-05,kg/(N·s),1,
0.0,12000.0,0.44,2764.94,1.4940939043885217e-05,kg/(N·s),1,
0.0,12000.0,0.46,2608.5,1.5660647881924476e-05,kg/(N·s),1,
